position_1based,learned_profile,sim_coverage,holdout_coverage
166,1.3766856573027696e-05,11057.0,4338.0
167,1.3640782959343801e-05,10641.0,4270.0
168,1.3578382887924499e-05,10286.0,4222.0
169,1.3545909381369557e-05,10672.0,4179.0
170,1.3580929829615084e-05,10652.0,4166.0
171,1.3750938187461547e-05,10868.0,4233.0
172,1.374266062696715e-05,10861.0,4187.0
173,1.3864277092692522e-05,10983.0,4221.0
174,1.3912032249390968e-05,10969.0,4229.0
175,1.3740750420699212e-05,10692.0,4184.0
176,1.3664978905404346e-05,10694.0,4136.0
177,1.3687264645196954e-05,10899.0,4126.0
178,1.3523623641576949e-05,10524.0,4056.0
179,1.3635052340539987e-05,10660.0,4064.0
180,1.368471770350637e-05,10612.0,4071.0
181,1.388656283248513e-05,10870.0,4099.0
182,1.3912668984813614e-05,10908.0,4105.0
183,1.3700636089072518e-05,10635.0,4012.0
184,1.3699362618227226e-05,10785.0,4033.0
185,1.3559917560667767e-05,10633.0,3965.0
186,1.3570105327430102e-05,10687.0,3987.0
187,1.3460586834735002e-05,10740.0,3971.0
188,1.3381631642326906e-05,10464.0,3938.0
189,1.3397550027893054e-05,10415.0,3927.0
190,1.3401370440428931e-05,10568.0,3901.0
191,1.3163868127781998e-05,10486.0,3820.0
192,1.3269566207941223e-05,10530.0,3842.0
193,1.3272113149631806e-05,10347.0,3819.0
194,1.3347884664926672e-05,10500.0,3781.0
195,1.3510888933124031e-05,10671.0,3570.0
196,1.3434480682406519e-05,10536.0,3694.0
197,1.3353615283730485e-05,10473.0,3721.0
198,1.3295672360269706e-05,10453.0,3742.0
199,1.3176602836234916e-05,10182.0,3733.0
200,1.319506816349165e-05,10157.0,3740.0
201,1.3184880396729314e-05,10204.0,3742.0
202,1.3333239750205816e-05,10507.0,3763.0
203,1.3444031713746208e-05,10532.0,3776.0
204,1.3535721614607222e-05,10655.0,3741.0
205,1.3935591460028867e-05,10882.0,3813.0
206,1.4440522650187092e-05,11464.0,3870.0
207,1.457996770774655e-05,11571.0,3950.0
208,1.4779902630457373e-05,11597.0,3918.0
209,1.4806008782785856e-05,11582.0,3882.0
210,1.453157581562546e-05,11370.0,3865.0
211,1.449719210280258e-05,11442.0,3891.0
212,1.4543037053233086e-05,11394.0,3870.0
213,1.4653192281350833e-05,11530.0,3908.0
214,1.4564686057603048e-05,11304.0,3886.0
215,1.4555135026263359e-05,11283.0,3879.0
216,1.4925715042243291e-05,11513.0,3904.0
217,1.4815559814125545e-05,11690.0,3894.0
218,1.4588245268240947e-05,11403.0,3853.0
219,1.4828294522578464e-05,11612.0,3866.0
220,1.5187413300950769e-05,11911.0,3900.0
221,1.5221797013773649e-05,11890.0,3905.0
222,1.5202694951094272e-05,11884.0,3934.0
223,1.5361878806755754e-05,11978.0,3898.0
224,1.5340229802385792e-05,11975.0,3854.0
225,1.5403903344650386e-05,12117.0,3642.0
226,1.5440197263741205e-05,12181.0,3643.0
227,1.5532523900024864e-05,12150.0,3647.0
228,1.559428723602152e-05,12361.0,4055.0
229,1.5781487450279424e-05,12439.0,4101.0
230,1.6138059286961147e-05,12647.0,4074.0
231,1.6460884146242634e-05,12923.0,4100.0
232,1.6455790262861468e-05,12843.0,4107.0
233,1.6764606942844742e-05,13198.0,4197.0
234,1.67792518575656e-05,13231.0,4192.0
235,1.702503173070693e-05,13388.0,4243.0
236,1.7354860679637522e-05,13666.0,4302.0
237,1.7329391262731686e-05,13788.0,4285.0
238,1.7522958831216047e-05,13724.0,4326.0
239,1.768405289314547e-05,13950.0,4415.0
240,1.7748363170832708e-05,13861.0,4422.0
241,1.7905636820226254e-05,14071.0,4437.0
242,1.80781921197633e-05,14241.0,4440.0
243,1.8167971814356378e-05,14111.0,4486.0
244,1.8531547740687204e-05,14446.0,4513.0
245,1.8879205281451885e-05,14894.0,4530.0
246,1.9151091306921696e-05,15006.0,4577.0
247,1.9201393405310723e-05,15154.0,4574.0
248,1.9294993512439678e-05,15048.0,4577.0
249,1.9470732489089953e-05,15443.0,4620.0
250,1.9415973242742405e-05,15267.0,4625.0
251,1.9366944615198667e-05,15448.0,4617.0
252,1.9398781386330964e-05,15025.0,4607.0
253,1.9633100021864668e-05,15427.0,4601.0
254,1.9903712576489187e-05,15480.0,4609.0
255,2.031631713036375e-05,16117.0,4577.0
256,2.0281296682118225e-05,15853.0,4494.0
257,2.023545173168772e-05,15794.0,4442.0
258,2.0271745650778538e-05,15920.0,4438.0
259,2.0471043838066712e-05,15893.0,4448.0
260,2.0869640212643068e-05,16259.0,4496.0
261,2.1282881501940277e-05,16647.0,4493.0
262,2.1023093449500737e-05,16535.0,4389.0
263,2.058374600787504e-05,16048.0,4256.0
264,2.15452164960704e-05,16944.0,4335.0
265,2.185212296978574e-05,17057.0,4384.0
266,2.2062245659258896e-05,17331.0,4369.0
267,2.226982140704147e-05,17548.0,4371.0
268,2.2530882930326304e-05,17560.0,4373.0
269,2.270853211324452e-05,17708.0,4312.0
270,2.2932662982015885e-05,17793.0,4295.0
271,2.344077784928734e-05,18491.0,4290.0
272,2.3817088484071086e-05,18880.0,4252.0
273,2.403548873403864e-05,18754.0,4261.0
274,2.407942347820121e-05,18935.0,4260.0
275,2.4279358400912032e-05,19130.0,4249.0
276,2.4585628139204726e-05,19283.0,4291.0
277,2.497785715955462e-05,19566.0,4328.0
278,2.529049425207377e-05,19801.0,4313.0
279,2.5587212959026777e-05,20124.0,4300.0
280,2.5789058088005536e-05,20024.0,4308.0
281,2.605139308213566e-05,20624.0,4291.0
282,2.623158920674446e-05,20576.0,4308.0
283,2.6215670821178312e-05,20717.0,4292.0
284,2.63111811345752e-05,20668.0,4287.0
285,2.6335377080635747e-05,20787.0,4279.0
286,2.6429613923187346e-05,20756.0,4255.0
287,2.6816112324733426e-05,21347.0,4259.0
288,2.7412096680330016e-05,21454.0,4251.0
289,2.7627313253184343e-05,21436.0,4223.0
290,2.7734284804188858e-05,21710.0,4194.0
291,2.7719003154045357e-05,21767.0,4189.0
292,2.7876913538861547e-05,21796.0,4195.0
293,2.8005534094236025e-05,21634.0,4207.0
294,2.8045011690440072e-05,21853.0,4180.0
295,2.7406366061526203e-05,21612.0,4117.0
296,2.6820569472691948e-05,20941.0,4017.0
297,2.602847060692041e-05,20552.0,3912.0
298,2.573047842912211e-05,20026.0,3873.0
299,2.5366265767368637e-05,19929.0,3850.0
300,2.502943272878894e-05,19639.0,3808.0
301,2.4908452998486212e-05,19413.0,3731.0
302,2.4677954775488385e-05,19153.0,3693.0
303,2.4886167258693605e-05,19634.0,3905.0
304,2.4643571062665506e-05,19259.0,3965.0
305,2.4628289412522002e-05,19360.0,4047.0
306,2.1932988368461774e-05,17157.0,4063.0
307,1.2391508060112482e-05,9684.0,3974.0
308,1.0434183370898888e-05,8135.0,3854.0
309,9.677104953372874e-06,7790.0,3724.0
310,7.275338939152419e-06,5671.0,3448.0
311,2.7965419762609333e-05,22047.0,4028.0
312,2.9221698751489755e-05,22858.0,4660.0
313,2.967823804952689e-05,23387.0,4974.0
314,3.031688367844076e-05,23602.0,5056.0
315,3.0837096518742485e-05,24119.0,5055.0
316,3.0735218851119135e-05,24194.0,4337.0
317,3.1189211207465683e-05,24631.0,4435.0
318,3.2048167292615045e-05,25135.0,4535.0
319,3.2987988776440446e-05,26012.0,4666.0
320,3.4239810617362347e-05,26918.0,4872.0
321,3.5247762791410856e-05,27388.0,5015.0
322,3.6010571827740685e-05,28174.0,5299.0
323,3.682304622703689e-05,28858.0,5555.0
324,3.75813981154082e-05,29319.0,5661.0
325,3.808378236387584e-05,30127.0,5901.0
326,3.8306639761801914e-05,29904.0,6048.0
327,3.93419715590242e-05,30621.0,6330.0
328,4.024804606544936e-05,31462.0,6434.0
329,4.1383982059449705e-05,32554.0,6639.0
330,4.225630958847463e-05,33098.0,6771.0
331,4.29809144994457e-05,33890.0,6944.0
332,4.418498118366916e-05,34555.0,7416.0
333,4.60569833262482e-05,35975.0,7572.0
334,4.8828055885603295e-05,38303.0,7881.0
335,5.032820454135711e-05,39579.0,8071.0
336,5.147878545007831e-05,40387.0,8369.0
337,5.307317094838372e-05,41547.0,8624.0
338,5.487958934243023e-05,42994.0,9107.0
339,5.750230254830883e-05,45194.0,9608.0
340,6.184865854328996e-05,48824.0,10615.0
341,6.846433958458119e-05,53760.0,12439.0
342,7.905452313402833e-05,61916.0,15071.0
343,9.524988860902761e-05,74554.0,18812.0
344,0.00012629392414013,98463.0,24084.0
345,0.00018507606488795718,145260.0,32373.0
346,0.00030095427098444504,236297.0,45526.0
347,0.0004259893691940041,332942.0,57259.0
348,0.0004740864528144098,371814.0,62345.0
349,0.00047641117384249014,372356.0,62839.0
350,0.0004757667975947724,373807.0,62929.0
351,0.0004755636789949484,372655.0,62951.0
352,0.00047545543397309857,373265.0,63004.0
353,0.00047541595637689454,372925.0,63127.0
354,0.0004750269110336579,372631.0,63298.0
355,0.00047452325331434495,371945.0,63883.0
356,0.0004740749915768022,371018.0,64629.0
357,0.0004734745500732471,371849.0,64685.0
358,0.0004733210968363894,371330.0,64980.0
359,0.0004730963292321954,370360.0,65186.0
360,0.0004727639533415742,371509.0,65303.0
361,0.00047241056518200573,369900.0,65377.0
362,0.00047222909558655165,371375.0,65686.0
363,0.0004718222216514809,370418.0,65971.0
364,0.00047145737225430474,370057.0,66167.0
365,0.000471072147323604,368623.0,66253.0
366,0.0004703972077755993,369587.0,66443.0
367,0.00046957072519700487,368446.0,66425.0
368,0.00046937079027429407,368439.0,66502.0
369,0.00046931221061541063,368819.0,66741.0
370,0.0004689155244471022,368019.0,66973.0
371,0.0004685455811665449,368265.0,67232.0
372,0.0004675771065887005,367130.0,67197.0
373,0.0004668722404758314,365980.0,66900.0
374,0.00046615081924197355,365588.0,66902.0
375,0.0004660292027762482,366156.0,67113.0
376,0.0004653510795511303,365170.0,67179.0
377,0.0004650645486109396,366245.0,67352.0
378,0.00046489326678224785,365707.0,67455.0
379,0.00046424761706368486,365152.0,67544.0
380,0.0004639789147153283,363470.0,67758.0
381,0.00046355803260095935,362758.0,67804.0
382,0.00046317471787652646,362840.0,67817.0
383,0.00046184712452030974,362200.0,67768.0
384,0.00046158924667413813,362391.0,67810.0
385,0.00046128743408380395,361617.0,67883.0
386,0.0004611874666224485,361090.0,68253.0
387,0.0004609334091888128,361679.0,68531.0
388,0.00046002606121154233,360761.0,68451.0
389,0.00045951985655053886,359898.0,68452.0
390,0.0004590200192437618,360405.0,68451.0
391,0.000458715659711737,359436.0,68514.0
392,0.00045784778933067065,358788.0,68662.0
393,0.0004572078702309115,358961.0,68662.0
394,0.00045670866965955703,358383.0,68945.0
395,0.00045480355727500044,356454.0,68714.0
396,0.00045406367071388584,356386.0,68587.0
397,0.00045364469880578484,354915.0,68613.0
398,0.0004533021351484013,355462.0,68564.0
399,0.00045261637109821165,354105.0,68659.0
400,0.0004519255131646408,354353.0,68680.0
401,0.0004504158134775473,354534.0,68620.0
402,0.0004481101945121464,350654.0,68312.0
403,0.0004469978177287839,351089.0,67864.0
404,0.00044640055990234205,351154.0,67723.0
405,0.0004389080941840674,344293.0,66398.0
406,0.00041010664081152394,321866.0,60343.0
407,0.000260871139393461,204608.0,42130.0
408,0.00011254553289435907,88271.0,25708.0
409,1.123201285547424e-06,908.0,14901.0
410,1.0334215909543477e-06,833.0,14915.0
411,1.0257807658825965e-06,802.0,14804.0
412,9.805725508747353e-07,810.0,14788.0
413,9.74205196648276e-07,751.0,14548.0
414,9.652909007312329e-07,768.0,14360.0
415,9.627439590406491e-07,743.0,14343.0
416,3.998698454216453e-07,321.0,14252.0
417,4.005065808442912e-07,319.0,14337.0
418,3.979596391537075e-07,322.0,14207.0
419,3.775841056290377e-07,294.0,14171.0
420,3.7185348682522426e-07,273.0,14228.0
421,3.705800159799324e-07,313.0,14211.0
422,3.584820429496597e-07,260.0,14174.0
423,3.5147795330055445e-07,292.0,13870.0
424,3.502044824552626e-07,293.0,13845.0
425,3.444738636514492e-07,334.0,13766.0
426,3.419269219608655e-07,264.0,13709.0
427,3.3937998027028175e-07,255.0,13610.0
428,3.3555956773440614e-07,247.0,13566.0
429,3.298289489305928e-07,245.0,13441.0
430,3.2728200724000904e-07,240.0,13435.0
431,3.2600853639471717e-07,235.0,13404.0
432,3.209146530135497e-07,225.0,13254.0
433,3.164575050550282e-07,226.0,13150.0
434,3.126370925191526e-07,263.0,12923.0
435,3.005391194888799e-07,254.0,12907.0
436,2.9353502983977466e-07,230.0,12693.0
437,2.865309401906694e-07,259.0,12560.0
438,2.7443296716039667e-07,253.0,12215.0
439,2.667921420886455e-07,220.0,12002.0
440,2.61698258707478e-07,201.0,11714.0
441,2.7952685054156414e-07,226.0,11676.0
442,2.750697025830426e-07,208.0,11630.0
443,2.7379623173775073e-07,190.0,11602.0
444,2.706125546245211e-07,233.0,11490.0
445,2.6742887751129144e-07,213.0,11290.0
446,2.5787784617160247e-07,200.0,10662.0
447,2.508737565224972e-07,207.0,10049.0
448,2.52783962790435e-07,205.0,10003.0
449,2.4705334398662163e-07,197.0,9753.0
450,2.445064022960379e-07,188.0,9533.0
451,2.445064022960379e-07,187.0,9427.0
452,2.406859897601623e-07,193.0,9370.0
453,2.2858801672988957e-07,184.0,9085.0
454,2.24767604194014e-07,162.0,8825.0
455,2.2094719165813838e-07,174.0,8625.0
456,2.190369853902006e-07,171.0,8511.0
457,2.1266963116374129e-07,181.0,8353.0
458,2.1266963116374129e-07,170.0,8349.0
459,2.1139616031844942e-07,164.0,8307.0
460,2.0248186440140638e-07,179.0,8011.0
461,1.9993492271082264e-07,149.0,7822.0
462,1.9547777475230113e-07,145.0,7593.0
463,1.9420430390700926e-07,161.0,7542.0
464,1.9229409763907145e-07,143.0,7487.0
465,1.9102062679377958e-07,153.0,7493.0
466,1.8146959545409061e-07,152.0,7261.0
467,1.8019612460879874e-07,146.0,7188.0
468,1.7573897665027723e-07,150.0,7025.0
469,1.7446550580498536e-07,130.0,6953.0
470,1.7255529953704755e-07,132.0,6779.0
471,1.6873488700117197e-07,112.0,6534.0
472,1.6427773904265045e-07,128.0,6465.0
473,1.6427773904265045e-07,127.0,6435.0
474,1.6173079735206672e-07,135.0,6357.0
475,1.5982059108412894e-07,131.0,6285.0
476,1.5663691397089926e-07,127.0,6234.0
477,1.5090629516708588e-07,111.0,5836.0
478,1.4453894094062656e-07,115.0,5572.0
479,1.432654700953347e-07,117.0,5532.0
480,1.4199199925004284e-07,99.0,5472.0
481,1.4071852840475097e-07,115.0,5410.0
482,1.3880832213681317e-07,104.0,5317.0
483,1.3307770333299978e-07,105.0,5094.0
484,1.3244096791035385e-07,112.0,4997.0
485,1.2798381995183233e-07,108.0,4558.0
486,1.254368782612486e-07,94.0,4490.0
487,1.2288993657066488e-07,105.0,4454.0
488,1.197062594574352e-07,103.0,4329.0
489,1.1652258234420555e-07,91.0,4237.0
490,1.1524911149891369e-07,75.0,4042.0
491,1.1461237607626775e-07,83.0,3954.0
492,1.114286989630381e-07,89.0,3837.0
493,1.1015522811774624e-07,95.0,3801.0
494,1.1015522811774624e-07,105.0,3781.0
495,1.0697155100451658e-07,95.0,3596.0
496,1.0442460931393284e-07,75.0,3530.0
497,1.0315113846864098e-07,78.0,3457.0
498,1.0315113846864098e-07,89.0,3410.0
499,1.0251440304599505e-07,89.0,3352.0
500,1.0060419677805726e-07,69.0,3296.0
501,8.97796945930764e-08,71.0,3197.0
502,8.468581121190895e-08,87.0,3159.0
503,8.022866325338742e-08,73.0,3061.0
504,7.449804444957404e-08,50.0,2979.0
505,7.513477987221997e-08,53.0,2955.0
506,7.386130902692812e-08,75.0,2917.0
507,6.813069022311472e-08,45.0,2655.0
508,6.74939548004688e-08,47.0,2526.0
509,6.74939548004688e-08,60.0,2439.0
510,6.622048395517692e-08,53.0,2391.0
511,6.36735422645932e-08,36.0,2210.0
512,6.303680684194726e-08,61.0,2106.0
513,6.240007141930133e-08,48.0,2017.0
514,5.857965888342574e-08,44.0,1975.0
515,5.794292346077981e-08,46.0,1920.0
516,5.98531297287176e-08,54.0,1877.0
517,5.794292346077981e-08,36.0,1840.0
518,5.539598177019608e-08,33.0,1756.0
519,5.539598177019608e-08,52.0,1727.0
520,5.412251092490422e-08,38.0,1638.0
521,5.412251092490422e-08,39.0,1614.0
522,5.2849040079612354e-08,32.0,1554.0
523,5.221230465696642e-08,48.0,1534.0
524,5.221230465696642e-08,40.0,1514.0
525,5.030209838902863e-08,41.0,1447.0
526,4.5844950430507105e-08,31.0,1328.0
527,4.457147958521524e-08,20.0,1264.0
528,4.457147958521524e-08,37.0,1240.0
529,4.457147958521524e-08,36.0,1211.0
530,4.329800873992337e-08,37.0,1181.0
531,4.329800873992337e-08,43.0,1168.0
532,4.2661273317277444e-08,32.0,1105.0
533,4.202453789463151e-08,30.0,1089.0
534,4.011433162669371e-08,29.0,1060.0
535,4.138780247198558e-08,35.0,1035.0
536,4.138780247198558e-08,40.0,1018.0
537,3.9477596204047783e-08,32.0,985.0
538,3.502044824552626e-08,22.0,881.0
539,3.0563300287004736e-08,21.0,799.0
540,2.865309401906694e-08,31.0,780.0
541,2.865309401906694e-08,19.0,771.0
542,2.610615232848321e-08,26.0,745.0
543,2.5469416905837278e-08,17.0,700.0
544,2.5469416905837278e-08,16.0,683.0
545,2.4195946060545415e-08,18.0,659.0
546,2.4195946060545415e-08,20.0,644.0
547,2.3559210637899484e-08,20.0,629.0
548,2.228573979260762e-08,14.0,589.0
549,2.0375533524669823e-08,25.0,539.0
550,2.0375533524669823e-08,18.0,496.0
551,2.0375533524669823e-08,15.0,478.0
552,1.7828591834086094e-08,16.0,462.0
553,1.655512098879423e-08,15.0,443.0
554,1.655512098879423e-08,16.0,432.0
555,1.655512098879423e-08,9.0,430.0
556,1.655512098879423e-08,16.0,402.0
557,1.655512098879423e-08,13.0,398.0
558,1.4644914720856435e-08,16.0,378.0
559,1.4644914720856435e-08,11.0,366.0
560,1.7191856411440163e-08,10.0,346.0
561,7.11870202518152e-07,536.0,1027.0
562,7.742702739374533e-07,623.0,1089.0
563,7.825478344318504e-07,592.0,1095.0
564,7.876417178130178e-07,639.0,1082.0
565,7.882784532356637e-07,609.0,1071.0
566,7.920988657715394e-07,633.0,1065.0
567,7.95282542884769e-07,614.0,1048.0
568,8.010131616885824e-07,685.0,1045.0
569,8.035601033791662e-07,663.0,1043.0
570,8.067437804923959e-07,617.0,1033.0
571,8.13747870141501e-07,663.0,1033.0
572,8.162948118320848e-07,661.0,1016.0
573,8.201152243679604e-07,645.0,1005.0
574,8.213886952132522e-07,629.0,981.0
575,8.2329890148119e-07,629.0,963.0
576,8.264825785944197e-07,646.0,944.0
577,8.366703453567546e-07,660.0,826.0
578,8.373070807794005e-07,669.0,824.0
579,8.417642287379221e-07,688.0,825.0
580,8.500417892323192e-07,671.0,829.0
581,8.551356726134867e-07,659.0,831.0
582,8.627764976852378e-07,705.0,837.0
583,8.780581478287402e-07,683.0,839.0
584,8.869724437457832e-07,729.0,843.0
585,8.907928562816588e-07,698.0,844.0
586,8.9843368135341e-07,689.0,846.0
587,9.073479772704531e-07,693.0,850.0
588,9.111683898063286e-07,722.0,851.0
589,9.188092148780798e-07,685.0,854.0
590,9.258133045271851e-07,736.0,855.0
591,9.315439233309985e-07,716.0,858.0
592,9.398214838253956e-07,724.0,864.0
593,9.461888380518549e-07,717.0,867.0
594,9.506459860103765e-07,741.0,881.0
595,9.64017429885941e-07,731.0,890.0
596,9.716582549576922e-07,746.0,903.0
597,9.933072593276538e-07,755.0,920.0
598,1.0073154386258644e-06,796.0,940.0
599,1.021323617924075e-06,792.0,943.0
600,1.0232338241920127e-06,789.0,946.0
601,1.030237913841118e-06,817.0,952.0
602,1.0340583263769936e-06,822.0,954.0
603,1.039152209758161e-06,819.0,960.0
604,1.0423358868713906e-06,811.0,964.0
605,1.0455195639846202e-06,815.0,967.0
606,1.04870324109785e-06,802.0,967.0
607,1.0658950975092901e-06,899.0,968.0
