pos	n_partitions	T_obs	null_q95	empirical_p	licensed	shuffleable_frac	enough_pooled_depth	top	feasible_0.005	feasible_0.01	feasible_0.02	feasible_0.05	feasible_0.1	per_cluster
4044	8	1.1496439104847773e-05	1.155032005062723e-06	0.0	True	1.0	True	STHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.01025, ""n"": 1086, ""pooled_depth"": 14832.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01186, ""n"": 632, ""pooled_depth"": 9055.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00913, ""n"": 845, ""pooled_depth"": 14311.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.00817, ""n"": 913, ""pooled_depth"": 15298.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.01103, ""n"": 1204, ""pooled_depth"": 22922.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00258, ""n"": 1015, ""pooled_depth"": 6429.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.01186, ""n"": 1000, ""pooled_depth"": 14279.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00168, ""n"": 1247, ""pooled_depth"": 10137.0, ""callable"": false}}"
4145	8	4.549165890805428e-06	7.967243815522947e-07	0.0	True	1.0	True	LTHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00503, ""n"": 1016, ""pooled_depth"": 11906.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00646, ""n"": 535, ""pooled_depth"": 6953.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.00595, ""n"": 701, ""pooled_depth"": 11472.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00644, ""n"": 816, ""pooled_depth"": 12249.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00708, ""n"": 1083, ""pooled_depth"": 17849.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00105, ""n"": 906, ""pooled_depth"": 5403.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00605, ""n"": 924, ""pooled_depth"": 11600.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00117, ""n"": 1113, ""pooled_depth"": 8176.0, ""callable"": false}}"
4150	8	7.265808190703674e-06	8.094326107086691e-07	0.0	True	1.0	True	STHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00695, ""n"": 990, ""pooled_depth"": 11690.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00786, ""n"": 525, ""pooled_depth"": 6851.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00679, ""n"": 690, ""pooled_depth"": 11253.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00532, ""n"": 801, ""pooled_depth"": 12056.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00777, ""n"": 1074, ""pooled_depth"": 17627.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00045, ""n"": 909, ""pooled_depth"": 5527.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00824, ""n"": 917, ""pooled_depth"": 11485.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00088, ""n"": 1128, ""pooled_depth"": 8275.0, ""callable"": false}}"
4197	8	9.519366192064749e-06	1.199545377460495e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00815, ""n"": 945, ""pooled_depth"": 10360.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01039, ""n"": 475, ""pooled_depth"": 5902.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00841, ""n"": 650, ""pooled_depth"": 9793.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.00634, ""n"": 778, ""pooled_depth"": 10789.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00958, ""n"": 985, ""pooled_depth"": 15112.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00261, ""n"": 908, ""pooled_depth"": 5089.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00997, ""n"": 831, ""pooled_depth"": 9877.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.0012, ""n"": 1094, ""pooled_depth"": 7477.0, ""callable"": false}}"
4205	8	5.642250971915918e-06	1.1061179979685013e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00696, ""n"": 955, ""pooled_depth"": 10382.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.01078, ""n"": 475, ""pooled_depth"": 5814.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00556, ""n"": 642, ""pooled_depth"": 9944.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.005, ""n"": 766, ""pooled_depth"": 10937.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00779, ""n"": 999, ""pooled_depth"": 14856.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00364, ""n"": 872, ""pooled_depth"": 5114.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00591, ""n"": 806, ""pooled_depth"": 9814.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00207, ""n"": 1074, ""pooled_depth"": 7591.0, ""callable"": false}}"
5171	8	5.9980741583537284e-06	9.866409194677893e-07	0.0	True	1.0	True	FLT3int	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00942, ""n"": 1068, ""pooled_depth"": 14108.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.00722, ""n"": 653, ""pooled_depth"": 9197.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.00667, ""n"": 811, ""pooled_depth"": 13758.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00908, ""n"": 892, ""pooled_depth"": 14230.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.00706, ""n"": 1192, ""pooled_depth"": 22161.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.0017, ""n"": 1049, ""pooled_depth"": 6539.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00743, ""n"": 1041, ""pooled_depth"": 14039.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00237, ""n"": 1239, ""pooled_depth"": 9981.0, ""callable"": false}}"
5209	8	5.3520524133313915e-06	5.166983477584981e-07	0.0	True	1.0	True	STHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00417, ""n"": 1068, ""pooled_depth"": 14483.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.0065, ""n"": 641, ""pooled_depth"": 9355.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.00456, ""n"": 802, ""pooled_depth"": 13863.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00526, ""n"": 903, ""pooled_depth"": 14589.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00749, ""n"": 1216, ""pooled_depth"": 22971.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00206, ""n"": 1059, ""pooled_depth"": 6761.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00767, ""n"": 1010, ""pooled_depth"": 14333.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00083, ""n"": 1273, ""pooled_depth"": 10493.0, ""callable"": false}}"
5294	8	1.5614015823647277e-05	1.4332586070815627e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00953, ""n"": 889, ""pooled_depth"": 8850.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01259, ""n"": 467, ""pooled_depth"": 5743.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.006, ""n"": 609, ""pooled_depth"": 8915.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00794, ""n"": 708, ""pooled_depth"": 9674.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.00983, ""n"": 1005, ""pooled_depth"": 14470.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00087, ""n"": 794, ""pooled_depth"": 4774.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.01206, ""n"": 808, ""pooled_depth"": 9659.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00107, ""n"": 1051, ""pooled_depth"": 7559.0, ""callable"": false}}"
5377	8	3.7312330514194538e-06	1.5638937066920626e-06	0.0	True	1.0	True	LTHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00927, ""n"": 1024, ""pooled_depth"": 13169.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01123, ""n"": 562, ""pooled_depth"": 7341.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00815, ""n"": 725, ""pooled_depth"": 12663.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.00785, ""n"": 874, ""pooled_depth"": 13977.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.0113, ""n"": 1106, ""pooled_depth"": 19675.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00693, ""n"": 1014, ""pooled_depth"": 6275.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00933, ""n"": 945, ""pooled_depth"": 12537.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00645, ""n"": 1217, ""pooled_depth"": 10140.0, ""callable"": false}}"
5425	8	1.1059377917142965e-05	1.6458440160718294e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.01085, ""n"": 1008, ""pooled_depth"": 12174.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01362, ""n"": 562, ""pooled_depth"": 7005.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00959, ""n"": 700, ""pooled_depth"": 11454.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.00892, ""n"": 852, ""pooled_depth"": 12805.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.0133, ""n"": 1115, ""pooled_depth"": 18384.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00471, ""n"": 1002, ""pooled_depth"": 6121.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.01062, ""n"": 977, ""pooled_depth"": 11981.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00362, ""n"": 1216, ""pooled_depth"": 9250.0, ""callable"": false}}"
5444	8	2.042649255314876e-06	9.017927066405136e-07	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00493, ""n"": 966, ""pooled_depth"": 10493.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00703, ""n"": 528, ""pooled_depth"": 6205.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.00501, ""n"": 680, ""pooled_depth"": 9910.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00453, ""n"": 788, ""pooled_depth"": 10957.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00697, ""n"": 1064, ""pooled_depth"": 15880.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00364, ""n"": 940, ""pooled_depth"": 5320.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00644, ""n"": 921, ""pooled_depth"": 10527.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00425, ""n"": 1144, ""pooled_depth"": 8034.0, ""callable"": false}}"
5708	8	5.522041253973814e-06	1.0347331248724506e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00889, ""n"": 1012, ""pooled_depth"": 12377.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.00927, ""n"": 520, ""pooled_depth"": 7850.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.0066, ""n"": 700, ""pooled_depth"": 12138.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00663, ""n"": 824, ""pooled_depth"": 13441.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00889, ""n"": 1117, ""pooled_depth"": 19464.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00354, ""n"": 988, ""pooled_depth"": 7025.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00771, ""n"": 918, ""pooled_depth"": 13124.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.0026, ""n"": 1179, ""pooled_depth"": 10248.0, ""callable"": false}}"
5712	8	6.255869303167359e-06	6.701757796123251e-07	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00692, ""n"": 1037, ""pooled_depth"": 13362.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00853, ""n"": 543, ""pooled_depth"": 8487.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00702, ""n"": 739, ""pooled_depth"": 13024.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00698, ""n"": 863, ""pooled_depth"": 14404.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.0084, ""n"": 1146, ""pooled_depth"": 21011.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00159, ""n"": 1027, ""pooled_depth"": 7687.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00833, ""n"": 966, ""pooled_depth"": 14119.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00211, ""n"": 1241, ""pooled_depth"": 11314.0, ""callable"": false}}"
5756	8	4.533921766492805e-06	6.578942495955964e-07	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00713, ""n"": 1095, ""pooled_depth"": 14968.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00763, ""n"": 606, ""pooled_depth"": 8948.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.00545, ""n"": 831, ""pooled_depth"": 14297.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00557, ""n"": 921, ""pooled_depth"": 15581.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00739, ""n"": 1218, ""pooled_depth"": 22940.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00086, ""n"": 1063, ""pooled_depth"": 7370.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00637, ""n"": 1042, ""pooled_depth"": 14951.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00235, ""n"": 1262, ""pooled_depth"": 11127.0, ""callable"": false}}"
5898	8	3.779415416080579e-06	7.022444182633432e-07	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00659, ""n"": 1078, ""pooled_depth"": 13115.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00874, ""n"": 552, ""pooled_depth"": 7096.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00619, ""n"": 758, ""pooled_depth"": 12430.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00493, ""n"": 873, ""pooled_depth"": 14048.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.0084, ""n"": 1098, ""pooled_depth"": 18737.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00293, ""n"": 1046, ""pooled_depth"": 6694.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00709, ""n"": 964, ""pooled_depth"": 12258.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00406, ""n"": 1241, ""pooled_depth"": 10189.0, ""callable"": false}}"
5968	8	2.1558217229210297e-06	6.360564170689642e-07	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00442, ""n"": 1038, ""pooled_depth"": 13746.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00769, ""n"": 621, ""pooled_depth"": 8289.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00507, ""n"": 774, ""pooled_depth"": 13316.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00523, ""n"": 874, ""pooled_depth"": 14940.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00656, ""n"": 1144, ""pooled_depth"": 20542.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00433, ""n"": 1118, ""pooled_depth"": 7353.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00638, ""n"": 941, ""pooled_depth"": 13820.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00316, ""n"": 1271, ""pooled_depth"": 11080.0, ""callable"": false}}"
6374	8	6.113229763826777e-06	6.034446355586731e-07	0.0	True	1.0	True	STHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00644, ""n"": 1095, ""pooled_depth"": 14180.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00768, ""n"": 612, ""pooled_depth"": 7892.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.00508, ""n"": 772, ""pooled_depth"": 13373.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00461, ""n"": 931, ""pooled_depth"": 14168.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00709, ""n"": 1207, ""pooled_depth"": 21153.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00083, ""n"": 1076, ""pooled_depth"": 6331.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00821, ""n"": 1040, ""pooled_depth"": 13564.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.0009, ""n"": 1215, ""pooled_depth"": 9130.0, ""callable"": false}}"
